Title,URL,Categories
"What is an Extension of Time Claim (EOT)? Understanding delays in Construction Projects",https://constructionfront.com/what-is-an-extension-of-time-claim/,"Claims &amp; Contract Administration, Knowledge Hub"
"Webuild in consortium with Pizzarotti and Ghella wins two rail contracts worth more than €3.7 bln in Southern Italy",https://constructionfront.com/webuild-consortium-wins-rail-contract-in-southern-italy/,News
Home,https://constructionfront.com/,
"UGL wins 35 MW battery for Alinta Energy in Australia",https://constructionfront.com/ugl-wins-35-mw-battery-for-alinta-energy-in-australia/,News
"What are the existing Delay Analysis Methods? (And When To Use Each)",https://constructionfront.com/delay-analysis-methods/,"Claims &amp; Contract Administration, Knowledge Hub"
Resources,https://constructionfront.com/courses/,
"About us",https://constructionfront.com/about-us/,
"Contact Us",https://constructionfront.com/contact-us/,
"Are Concrete Expansion Joints necessary? (How to Correctly Use Them)",https://constructionfront.com/are-concrete-expansion-joints-necessary/,Engineering
"Vinci Immobilier appoints new President",https://constructionfront.com/2023-06-26-vinci-immobilier-appoints-new-president/,News
"What is a Cold Joint in Concrete? (And How to Fix them!)",https://constructionfront.com/concrete-cold-joint/,Engineering
"Affiliate Disclosure",https://constructionfront.com/affiliate-disclosure/,
"Hyundai E&C awarded multi-billion dollar contracts for refinery in KSA",https://constructionfront.com/2023-06-27-hyundai-ec-awarded-multi-billion-dollar-contracts-for-refinery-in-ksa/,News
"What are Dowels in Concrete? (And Why You Need them)",https://constructionfront.com/what-are-dowels-in-concrete/,Engineering
"Skanska signs a contract for the John F. Kennedy International Airport Central Terminal Area Roadways",https://constructionfront.com/2023-06-28-skanska-signs-a-contract-for-ny-airport/,News
"Jacobs enters into an EPA Agreement with Fortescue Group (FFI) to support group&#8217;s zero-carbon initiative",https://constructionfront.com/2023-06-29-jacobs-enters-into-an-epa-agreement-with-fortescue-group-ffi/,News
"What is an Early Warning Notice? (And How To Effectively Use them)",https://constructionfront.com/what-is-an-early-warning-notice/,"Claims &amp; Contract Administration, Knowledge Hub"
"Two Consortia shortlisted to Deliver Melton Hospital PPP in Australia",https://constructionfront.com/2023-06-30-two-consortia-shortlisted-to-deliver-melton-hospital-ppp-in-australia/,"News, Uncategorized"
"What is a Keyway Joint in Concrete? (and When to use Them)",https://constructionfront.com/keyway-concrete/,Engineering
"Engie wins Transmission Line Concessions in Brazil",https://constructionfront.com/2023-07-03-engie-wins-transmission-line-concession-in-brazil/,News
"Vestas secures 59 MW order for Wind Farm Project in USA",https://constructionfront.com/2023-07-04-vestas-secures-59-mw-order-for-wind-farm-project-in-usa/,News
"Variation Order (VO) in Construction: Templates, Examples and Process",https://constructionfront.com/what-is-a-variation-order/,"Claims &amp; Contract Administration, Knowledge Hub"
"Lendlease appoints new CEO in European Branch",https://constructionfront.com/2023-07-04-lendlease-appoints-new-ceo-in-european-branch/,News
"What is a Concrete Curing Blanket? (And When/Why to Use them?)",https://constructionfront.com/concrete-curing-blanket/,Engineering
"JV with Skanska signs a £153 million contract in the defence sector in the UK",https://constructionfront.com/2023-07-08-skanska-signs-a-154-million-contract-in-the-defence-sector-in-the-uk/,News
"Are Heated Concrete Blankets Effective? (Read this&#8230;)",https://constructionfront.com/are-heated-concrete-blankets-effective/,Engineering
"Egis to Provide to provide Project Management Consultancy for Kuwait Airways Tower Project",https://constructionfront.com/2023-07-10-egis-to-provide-to-provide-project-management-consultancy-for-kuwait-airways-tower-project/,News
"What is a Variation Request? (And How to Submit one!)",https://constructionfront.com/variation-request/,"Claims &amp; Contract Administration, Knowledge Hub"
"CIP raises almost €6B in its new Renewable Energy Fund",https://constructionfront.com/2023-07-13-cip-raises-almost-6b-in-its-funds-for-renewable-energy-projects/,News
"Leighton Asia awarded $299M AUD Railway Contract in Philippines",https://constructionfront.com/2023-07-14-leighton-asia-awarded-railway-contract-in-philippines/,News
"What is the Window  Analysis Method? (And When to Use It)",https://constructionfront.com/window-analysis-method/,"Claims &amp; Contract Administration, Knowledge Hub"
"HOCHTIEF wins major PPP in Germany",https://constructionfront.com/2023-07-17-hochtief-wins-major-ppp-in-germany/,News
"Street Lighting PPP awarded in Brazil",https://constructionfront.com/street-lighting-ppp-awarded-in-brazil/,News
"What is a Time Bar Clause? (And Why it is so Important!)",https://constructionfront.com/time-bar-clause/,"Claims &amp; Contract Administration, Knowledge Hub"
"DIF Capital Partners Leads €250 Million Funding Round Expand Optical Fibre Rollout in Finland",https://constructionfront.com/2023-07-20-dif-capital-partners-leads-250-million-funding-round-for-valoo-to-expand-optical-fibre-rollout-in-finland/,News
"Fluor Team Secures DOE Contract for Portsmouth Gaseous Diffusion Plant Decontamination and Decommissioning",https://constructionfront.com/2023-07-22-fluor-team-secures-doe-contract-for-portsmouth-gaseous-diffusion-plant-decontamination-and-decommissioning/,News
"What is a Liquid Waterproofing Membrane? (And When to Use Them!)",https://constructionfront.com/liquid-waterproofing-membrane/,Engineering
"Plenary appointed as the preferred bidder for the Geelong Convention Centre PPP in Australia",https://constructionfront.com/2023-07-24-plenary-is-the-successful-bidder-for-the-geelong-convention-centre-ppp-in-australia/,News
"Acciona wins wastewater treatment plant (WWTP) contract in Spain.",https://constructionfront.com/2023-07-25-acciona-wins-wastewater-treatment-plant-wwtp-contract-in-spain/,News
"Another TBM breakthrough for Sydney Metro Project in Australia",https://constructionfront.com/2023-07-25-tbm-breakthrough-western-sydney-airport-sydney-metro/,"News, Uncategorized"
"DIF invests £200m in battery developer and operator in the UK",https://constructionfront.com/2023-07-26-dif-invests-200m-in-field-battery-developer-and-operator-in-the-uk/,News
"Plenary-Acciona-Sacyr JV wins Bridge Concession Contract in Louisiana (US)",https://constructionfront.com/2023-07-27-plenary-acciona-sacyr-jv-wins-bridge-concession-contract-in-louisiana-us/,News
"Acciona Energia starts the construction of a 280MW Windfarm in Canada",https://constructionfront.com/2023-07-28-acciona-energia-to-build-280mw-windfarm-in-canada/,News
"Webuild Group Signs €1.82 Billion Contract to Modernize Northern Italy&#8217;s Rail Corridor",https://constructionfront.com/2023-07-31-webuild-group-signs-1-82b-euro-contract-for-verona-to-padua-speed-rail-corridor/,"News, Uncategorized"
"Can you Speed Up Concrete Curing? (How to Correctly do it!)",https://constructionfront.com/can-you-speed-up-concrete-curing/,Engineering
"Joint Venture led by Fluor Selected as Contractor for I-35 NEX South Project in Texas (USA)",https://constructionfront.com/2023-08-01-joint-venture-led-by-fluor-selected-as-contractor-for-i-35-nex-south-project-in-texas-usa/,News
"Neoen awards contract extension for 270 MW Battery to UGL-Tesla JV in Australia",https://constructionfront.com/2023-08-02-neoen-awards-contract-extension-for-270-mw-battery-to-ugl-tesla-jv-in-australia/,"News, Uncategorized"
"AECOM Selected to Lead Seattle-Tacoma International Airport&#8217;s S Concourse Upgrade in Seattle (USA)",https://constructionfront.com/2023-08-04-aecom-selected-to-lead-seattle-tacoma-international-airports-s-concourse-upgrade/,News
"Lane (Webuild) Wins $102 Million Contract for I-4 and Apopka–Vineland Road Interchange Revamp",https://constructionfront.com/2023-08-04-lane-webuild-wins-102-million-contract-for-i-4-and-apopkavineland-road-interchange-revamp/,News
"Is Concrete Curing the same as Concrete Drying? (The difference is&#8230;)",https://constructionfront.com/concrete-curing-vs-concrete-dryring/,"Engineering, Uncategorized"
"Infrastructure Ontario selects EllisDon as the preferred bidder for Pediatric Health Complex in Ottawa",https://constructionfront.com/2023-08-07-infrastructure-ontario-selects-ellisdon-as-the-preferred-bidder-for-pediatric-health-complex-in-ottawa/,News
"Walsh-Kokosing JV awarded $3.6B Design-Build contract for the Brent Spence Corridor Project",https://constructionfront.com/2023-08-08-walsh-kokosing-jv-awarded-3-6b-desing-build-contract-for-the-brent-spence-corridor-project/,News
"What is a Latent Condition in Construction? (Examples & Tips)",https://constructionfront.com/latent-conditions-in-construction/,"Claims &amp; Contract Administration, Knowledge Hub"
"CPB Contractors appointed as Managing Contractor for the new Bundaberg Hospital in Queensland (Australia)",https://constructionfront.com/2023-08-10-cpb-contractors-appointed-as-managing-contractor-for-the-new-bundaberg-hospital-in-queensland-australia/,"News, Uncategorized"
"Balfour Beatty as the preferred bidder by SSEN for Pathway to 2030 Program",https://constructionfront.com/2023-08-11-balfour-beatty-as-the-preferred-bidder-by-ssen-for-pathway-to-2030-program/,News
"Management Contracting in Construction: How the Model Works",https://constructionfront.com/managing-contractors/,"Knowledge Hub, Procurement and Contract Models"
"Jacobs appointed by IEUA to manage water supply program in the Chino Basin in California",https://constructionfront.com/2023-08-15-jacobs-appointed-by-ieua-to-manage-water-supply-program-in-the-chino-basin-in-california/,News
"Vestas secures 140MW Wind Turbine order from Capital Power in Canada",https://constructionfront.com/2023-08-16-vestas-secures-140mw-wind-turbine-order-from-capital-power-in-canada/,News
"SNC-Lavalin awarded contract to design and build EV Battery Plant in Quebec (Canada)",https://constructionfront.com/2023-08-18-snc-lavalin-awarded-contract-to-design-and-build-ev-battery-plant-in-quebec-canada/,News
"Managing Contracting vs Construction Manager &#8211; Key Differences & Tips",https://constructionfront.com/managing-contractor-vs-construction-manager/,"Knowledge Hub, Procurement and Contract Models"
"Tennesse Titans awards Construction Manager Contract to JV with Turner",https://constructionfront.com/2023-08-21-tennesse-titans-awards-construction-manager-contract-to-jv-with-turner/,News
"NSIT Sewer Tunnel $215m Contract awarded to Granite in Ohio",https://constructionfront.com/2023-08-24-nsit-sewer-tunnel-215m-contract-awarded-to-granite-in-ohio/,News
"Are Time Bars enforceable in Construction Contracts?",https://constructionfront.com/are-time-bars-enforceable-in-construction-contracts/,"Claims &amp; Contract Administration, Knowledge Hub"
"Mortenson-McCarthy JV will be the Construction Managers for the New Oakland Athletics Ballpark in Las Vegas",https://constructionfront.com/2023-08-28-mortenson-mccarthy-jv-will-be-the-construction-manager-for-the-new-oakland-athletics-ballpark-in-las-vegas/,News
"Laing O&#8217;Rourke-Kier-Wates JV to deliver prison facilities in the UK",https://constructionfront.com/2023-08-31-laing-orourke-kier-wates-jv-to-deliver-prison-facilities-in-the-uk/,News
"What is an Alliance Contract? (Pros, Cons & Examples)",https://constructionfront.com/alliance-contract/,"Knowledge Hub, Procurement and Contract Models"
"CPB-Ghella-Acciona JV to deliver Suburban Rail Loop in Melbourne (Australia)",https://constructionfront.com/2023-09-05-cpb-ghella-acciona-jv-to-deliver-suburban-rail-loop-in-melbourne-australia/,News
"CVC Capital acquires the Dutch Infrastructure Fund (DIF)",https://constructionfront.com/2023-09-06-cvc-capital-acquires-the-dutch-infrastructure-fund-dif/,News
"Vinci awarded contract to deliver LNG Tank for GATE Terminal in the Netherlands",https://constructionfront.com/2023-09-20-vinci-awarded-contract-to-deliver-lng-tank-for-gate-terminal-in-the-netherlands/,News
"Igneo acquires majority Equity Interest in the US-based renewable energy developer Soltage",https://constructionfront.com/2023-09-21-igneo-acquires-majority-equity-interest-in-soltage/,News
"How to Repair a Cold Joint in Concrete? (Effectively!)",https://constructionfront.com/concrete-cold-joint-repair/,Engineering
"Westinghouse and Bechtel sign a JV agreement to deliver the First Nuclear Plant in Poland",https://constructionfront.com/2023-09-26-westinghouse-and-bechtel-sign-a-jv-agreement-to-deliver-first-nuclear-plant-in-poland/,News
"AECOM to provide program management services for the Norfolk&#8217;s Coast Storm Risk Management Program in Virginia",https://constructionfront.com/2023-09-28-aecom-to-provide-program-management-services-for-the-norfolks-coast-storm-risk-management-program-in-virginia/,News
"ECI Contract (Early Contractor Involvement): Phases, Process and Benefits",https://constructionfront.com/eci-contract/,"Knowledge Hub, Procurement and Contract Models"
"HOCHTIEF and EWE Go JV to deliver part of the EV charging network in Germany",https://constructionfront.com/2023-10-04-hochtief-and-ewe-go-jv-to-deliver-part-of-the-ev-charging-network-in-germany/,News
"CPB Contractors selected for upgrades in two RAAF Bases in Western Australia",https://constructionfront.com/2023-10-04-cpb-contractors-selected-for-upgrades-in-two-raaf-bases-in-western-australia/,News
"Patent vs Latent Defects – What is the Difference?",https://constructionfront.com/patent-defect-vs-latent-defect/,"Claims &amp; Contract Administration, Knowledge Hub"
"Fluor secures 5-year contract extension with the National Nuclear Security Administration in the US",https://constructionfront.com/2023-10-10-fluor-secures-5-year-contract-extension-with-the-national-nuclear-security-administration-in-the-us/,News
"EPC Contract: What It Is, How It Works and Key Risks",https://constructionfront.com/epc-contract/,"Knowledge Hub, Procurement and Contract Models"
"Seattle-Tacoma International Airport (SEA) awards $399M contract to Turner for C Concourse Expansion",https://constructionfront.com/2023-10-15-sea-airport-sea-awards-399m-contract-to-turner-for-c-concourse-expansion/,News
"Infrastructure Ontario closes RFP for Ottawa Hospital PPP – The Civic Campus Redevelopment Project",https://constructionfront.com/2023-10-16-infrastructure-ontario-closes-rfp-for-ottawa-hospital-ppp-the-civic-campus-redevelopment-project/,News
"Engie and Posco sign an agreement for a green hydrogen plant feasibility study in Western Australia",https://constructionfront.com/2023-10-18-engie-and-posco-sign-an-agreement-for-a-green-hydrogen-plant-feasibility-study-in-western-australia/,News
"CIP reaches financial close of two news funds for investment in renewable assets",https://constructionfront.com/2023-10-18-cip-reaches-financial-close-of-two-news-funds-for-investment-in-renewable-assets/,News
"Estoppel in Construction Contracts: How do they work?",https://constructionfront.com/estoppel-in-construction/,"Claims &amp; Contract Administration, Knowledge Hub"
"Australia starts consultation process for new offshore wind development area in Tasmania",https://constructionfront.com/2023-10-24-australia-starts-consultation-process-for-offshore-wind-development-area-in-tasmania/,"News, Uncategorized"
"Flatiron-Fred Smith JV to deliver roadway improvements for US Golf championship in North Carolina",https://constructionfront.com/2023-10-25-flatiron-fred-smith-jv-to-deliver-roadway-improvements-in-north-carolina/,News
"Fluor to provide front-end engineering and design services for Swedish Battery Developer Altris AB",https://constructionfront.com/2023-10-30-fluor-to-provide-front-end-engineering-and-design-services-for-swedish-battery-developer-altris-ab/,News
"Design and Construct (D&C) Contracts &#8211; How do they Work?",https://constructionfront.com/design-construct-contract/,"Knowledge Hub, Procurement and Contract Models"
"Sabanci Renewables chooses Bechtel to deliver Oriana Solar Farm Project in Texas",https://constructionfront.com/2023-10-31-sabanci-renewables-chooses-bechtel-to-deliver-oriana-solar-farm-project-in-texas/,News
"Jacobs to advise METRO on Transport Oriented Development Program in Houston",https://constructionfront.com/2023-11-04-jacobs-to-advise-metro-on-transport-oriented-development-program-in-houston/,News
"Bechtel to provide front-end engineering services for Urenco’s uranium processing facility in the UK",https://constructionfront.com/2023-11-08-bechtel-to-provide-front-end-engineering-services-for-urencos-uranium-processing-facility-in-the-uk/,News
"FEED Study (Front-End Engineering Design): Process, Deliverables and Cost",https://constructionfront.com/front-end-engineering-design/,"Knowledge Hub, Project Development"
"EQT infrastructure acquires Statera Energy from Infrared Capital Partners in the UK",https://constructionfront.com/2023-11-09-eqt-infrastructure-acquires-statera-energy-from-infrared-capital-in-the-uk/,News
"Turner-JE Dunn JV to build the new Austin Convention Centre",https://constructionfront.com/2023-11-15-turner-je-dunn-jv-to-build-the-new-austin-convention-centre/,News
"Skanska awarded contract variation of GBP 24M for works on the A428 road in the UK",https://constructionfront.com/2023-16-11-skanska-awarded-contract-variation-of-gbp-24m-for-works-on-the-a428-road-in-the-uk/,"News, Uncategorized"
"South Australia passes hydrogen and renewable energy Bill in Parliament",https://constructionfront.com/2023-11-19-south-australia-passes-hydrogen-and-renewable-energy-bill-in-parliament/,News
"Macquarie Asset Management launches Aula Energy to focus on onshore renewable energy assets",https://constructionfront.com/2023-11-20-macquarie-asset-management-launches-aula-energy-for-to-focus-on-onshore-renewable-energy-assets/,News
"DIF announces acquisition of majority stake in Novar &#8211; Dutch Renewable Energy Developer",https://constructionfront.com/2023-11-21-dif-announces-acquisition-of-majority-stake-in-novar-dutch-renewable-energy-developer/,News
"Balfour Beatty uses innovative digital concrete testing and monitoring system in HS2",https://constructionfront.com/2023-11-24-balfour-beatty-uses-innovative-digital-concrete-testing-and-monitoring-system-in-hs2/,News
"Glass Fiber Reinforced Concrete (GFRC) &#8211; What is it? (Pros and Cons)",https://constructionfront.com/glass-reinforced-concrete/,Engineering
"Skanska selected to deliver a 1.3B SEK (125M USD) road in Trøndelag County, Norway",https://constructionfront.com/2023-11-29-skanka-selected-to-deliver-a-1-3b-sek-125m-usd-road-in-trondelag-county-norway/,"News, Uncategorized"
"New method to verify carbon (CO2) capture in concrete developed by University of Tokyo Researchers",https://constructionfront.com/2023-11-30-researchers-from-the-university-of-tokyo-develop-a-new-method-to-verify-carbon-co2-capture-in-concrete/,News
"Tonaquint, DIF&#8217;s investee, acquires EdgeX Data Centers located in Oklahoma City",https://constructionfront.com/2023-12-02-tonaquint-difs-investee-acquires-edgex-data-centers-located-in-oklahoma-city/,News
"Transgrid awards two major contracts for HumeLink Transmission Line project in Australia",https://constructionfront.com/2023-12-04-transgrid-awards-two-major-contracts-for-humelink-transmission-line-project-in-australia/,News
"Performance Bond: What is it and How it Works? (How to Obtain one?)",https://constructionfront.com/performance-bond/,"Knowledge Hub, Procurement and Contract Models"
"Hochtief awarded a Judiciary Center PPP Contract in Frankfurt (Germany)",https://constructionfront.com/2023-12-07-hochtief-awarded-a-judiciary-center-ppp-contract-in-frankfurt-germany/,News
"VPRA chooses two JVs to delivery Long Bridge-North Package & Franconia-Springfield Bypass Projects",https://constructionfront.com/2023-12-12-vpra-chooses-two-jvs-to-delivery-long-bridge-north-package-franconia-springfield-bypass-projects/,News
"Canberra Light Rail Stage 2A goes ahead &#8211; CIMIC-Led JV to deliver the project",https://constructionfront.com/2023-12-15-canberra-light-rail-stage-2a-goes-ahead-cimic-led-jv-to-deliver-the-project/,News
"Aecon to deliver the 1.5km Elevated Guideway for the Eglinton Crosstown West Light Rail Extension",https://constructionfront.com/2023-12-16-aecon-to-deliver-the-1-5km-elevated-guideway-for-the-eglinton-crosstown-west-light-rail-extension/,News
"Construction Manager at Risk (CMaR): What is it? How it Works?",https://constructionfront.com/construction-manager-at-risk-cmar/,"Knowledge Hub, Procurement and Contract Models"
"Plenary reaches financial close for the Geelong Convention Centre PPP in Australia",https://constructionfront.com/2023-12-20-plenary-reaches-financial-close-for-the-geelong-convention-ppp-in-australia/,News
"Clayco to build Rivian’s new EV manufacturing Plant in Georgia",https://constructionfront.com/2023-12-21-clayco-to-build-rivians-new-ev-manufacturing-plant-in-georgia/,News
"FHWA opens applications for the $9.7 Billion Bridge Investment Program",https://constructionfront.com/2023-12-2023-fhwa-opens-applications-for-the-9-7-billion-bridge-investment-program/,"News, Uncategorized"
"Aecon secures contract to replace Condensers and Feedwater Heaters at North Anna Nuclear Power Station in Virginia",https://constructionfront.com/2023-12-24-aecon-secures-contract-to-replace-condensers-and-feedwater-heaters-at-north-anna-power-station-in-virginia/,News
"Worley appointed as the EPCM Contractor for Iluka Resources&#8217; critical minerals plant in Balranald, NSW (Australia)",https://constructionfront.com/2023-12-26-worley-appointed-as-the-epcm-contractor-for-iluka-resources-critical-mineral-plant-in-balranald-nsw-australia/,News
"Public Private Partnerships (PPPs): What are they? How they Work?",https://constructionfront.com/public-private-partnerships-ppps/,"Knowledge Hub, Procurement and Contract Models"
"AECOM selected as Metrolinx&#8217;s Delivery Partner for Eglinton Crosstown West Extension in Toronto",https://constructionfront.com/2023-12-28-aecom-selected-as-metrolinxs-delivery-partner-for-eglinton-crosstown-west-extension-in-toronto/,News
"Skanska to build the new NOAA Marine Operations Center in Newport &#8211; Rhode Island",https://constructionfront.com/2024-01-02-skanska-to-build-the-new-noaa-marine-operations-center-in-newport-rhode-island/,News
"What is Contract Novation? (Examples and Key Features)",https://constructionfront.com/contract-novation/,"Knowledge Hub, Procurement and Contract Models"
"Vestas awarded contract to deliver 242 wind turbines for SunZia Project in New Mexico, USA",https://constructionfront.com/2024-01-03-vestas-awarded-contract-to-deliver-242-wind-turbines-for-sunzia-project-in-new-mexico-usa/,News
"Nordex secures order to supply 80 Turbines to Renewable Power Capital in Sweden",https://constructionfront.com/2024-01-04-nordex-secures-order-to-supply-80-turbines-to-renewable-power-capital-in-sweden/,News
"Nordex will supply 18 wind turbines (106MW) to Capital Energy for the Mareas wind farm projects in Zaragoza, Spain",https://constructionfront.com/2024-01-05-nordex-will-supply-18-wind-turbines-106mw-to-capital-energy-for-the-mareas-wind-farm-projects-in-zaragoza-spain/,News
"AECOM-led JV to provide planning, environmental, and design services for Vermont Transit Corridor project in LA",https://constructionfront.com/2024-01-09-aecom-led-jv-to-provide-planning-environmental-and-design-services-for-vermont-transit-corridor-project-in-la/,News
"Infranode acquires 49% in two biogas assets from the Danish operator Renegas",https://constructionfront.com/2024-01-10-infranode-acquires-49-in-two-biogas-assets-from-the-danish-operator-renegas/,News
"Vinci Airports extends concession agreement in Dominican Republic for 30 years",https://constructionfront.com/2024-01-11-vinci-airports-extends-concession-agreement-in-dominican-republic-for-30-years/,News
"Balance of Plant (BoP): BOP Contract, Scope and EPC Procurement",https://constructionfront.com/balance-of-plant-bop-contract/,"Knowledge Hub, Procurement and Contract Models"
"CIP reaches FID for 300 MW onshore windfarm in India with Viviid Renewables",https://constructionfront.com/2024-01-14-cip-reaches-fid-for-300-mw-onshore-windfarm-in-india-with-viviid-renewables/,News
"Nordex to deliver 20 wind turbines for Denker & Wulf&#8217;s 3 wind farms in Germany",https://constructionfront.com/2024-01-16-nordex-to-deliver-20-wind-turbines-for-denker-wulf-in-germany/,News
"Aukera BV Secures €450 Million Credit Facility with EIG for Renewable Energy Projects in Europe",https://constructionfront.com/2024-01-16-aukera-bv-secures-450-million-credit-facility-with-eig-for-renewable-energy-projects-in-europe/,News
"CPB-Georgiou JV will be the construction partner for Paradise Dam Wall Replacement Project in Queensland",https://constructionfront.com/2024-01-16-cpb-georgiou-jv-will-be-the-construction-partner-for-paradise-dam-wall-replacement-project-in-queensland/,News
"8 Rivers capital goes ahead with the Cormorant Clean Energy Project in Texas",https://constructionfront.com/2024-01-18-8-rivers-capital-goes-ahead-with-the-cormorant-clean-energy-project-in-texas/,News
"Ørsted makes final investment decision on the Farranrory Onshore Wind Farm in Ireland",https://constructionfront.com/2024-01-18-orsted-makes-final-investment-decision-on-the-farranrory-onshore-wind-farm-in-ireland/,News
"Final Investment Decision (FID) in Construction & Energy Projects",https://constructionfront.com/final-investment-decision-fid/,"Knowledge Hub, Project Development"
"CIP launches Copenhagen Energy Islands (CEI) to focus on energy island projects",https://constructionfront.com/2024-01-20-cip-launches-copenhagen-energy-islands-cei-to-focus-on-energy-island-projects/,News
