Record ID,Project Name,Slug,Article Title,CF Article URL,Article Category,Article Date,MVP Inclusion,Map Ready,Region,Country,State / Province,City / Area,Latitude,Longitude,Sector,Subsector,Capacity / Scale,Project Value,Currency,Project Stage,BD Timing,Procurement Status,FID Status,Owner / Developer,Client / Public Authority,Main Contractor / EPC / EPCM,Key Contractors / Suppliers,Contract / Procurement Model,Commercial Opportunity,Opportunity Route,Confidence Level,Data Completeness,Review Required,Latest Update Date,Last Reviewed,Source URL,Source Notes
CFP-0027,Kwinana Gas Power Generation 2 Project,kwinana-gas-power-generation-2-project,Clough Awarded €116 Million D&C Contract for AGL’s Kwinana Gas Power Generation 2 Project in Western Australia,https://constructionfront.com/clough-awarded-e116-million-design-and-construct-contract-for-agls-kwinana-gas-power-generation-2-project-in-western-australia/,News,,Include after location review,Needs review,Australia & NZ,Australia,,Australia,-25.2744,133.7751,Energy,Gas Power,,€116 Million,EUR,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,AGL,,Clough,,D&C,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.94,Yes,,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0028,Mirny Wind and BESS Project,mirny-wind-and-bess-project,TotalEnergies Takes FID for 1 GW Mirny Wind and BESS Project in Kazakhstan,https://constructionfront.com/2026-04-27-totalenergies-takes-fid-for-1-gw-mirny-wind-and-bess-project-in-kazakhstan/,News,2026-04-27,Extended coverage / optional,Yes,Other,Kazakhstan,,Mirny area,47,68,Energy,BESS,1GW,,,FID Reached,Active Opportunity,Partly Awarded / Under Delivery,Reached / Closed,TotalEnergies,,,,Project finance / delivery procurement,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.88,Yes,2026-04-27,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0029,Warsaw-Lodz Line,warsaw-lodz-line,Six Consortia shortlisted for Poland’s First High-Speed Rail (Warsaw-Lodz Line),https://constructionfront.com/2026-04-28-six-consortia-shortlisted-for-polands-first-high-speed-rail-warsaw-lodz-line/,News,2026-04-28,Include in v0 map,Yes,Europe,Poland,Mazowieckie / Łódzkie,Warsaw-Lodz corridor,52,20,Transport,Rail / Metro,,,,Tendering / Procurement,Active Opportunity,Tendering / Procurement,Unknown,,,,,Unknown,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.76,Yes,2026-04-28,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0030,Natrium Kemmerer Unit 1 Nuclear Power Plant,natrium-kemmerer-unit-1-nuclear-power-plant,Bechtel and TerraPower Begin Construction on Natrium Kemmerer Unit 1 Nuclear Power Plant in Wyoming,https://constructionfront.com/2026-04-29-bechtel-and-terrapower-begin-construction-on-natrium-kemmerer-unit-1-in-wyoming/,News,2026-04-29,Include in v0 map,Yes,North America,United States,Wyoming,Kemmerer,41.792,-110.537,Energy,Nuclear,,,,Under Construction,Late Stage,Partly Awarded / Under Delivery,Likely reached or not applicable,TerraPower,,Bechtel,,Unknown,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Delivery contractor, subcontractors, commissioning and O&M teams",Title-derived - requires article review,0.88,Yes,2026-04-29,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0031,PPP sanitation concession for 153 municipalities,ppp-sanitation-concession-for-153-municipalities,"ACCIONA and BRK sign PPP sanitation concession for 153 municipalities in Pernambuco, Brazil",https://constructionfront.com/2026-01-05-acciona-and-brk-sign-ppp-sanitation-concession-for-153-municipalities-in-pernambuco-brazil/,News,2026-01-05,Extended coverage / optional,Needs review,Latin America,Brazil,Pernambuco,,-8.05,-34.9,Water,Water / Wastewater,,,,Unknown,Low Visibility,Unknown,Unknown,ACCIONA and BRK,,,,PPP / Concession,"Insufficient public information; review full article before BD action. Relevant categories may include process, civil, mechanical/electrical works, commissioning, O&M and PPP/concession advisory.",Review required,Title-derived - requires article review,0.82,Yes,2026-01-05,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0032,Banha and Nubaria Gas power plants,banha-and-nubaria-gas-power-plants,GE Vernova secures order to modernize Banha and Nubaria Gas power plants in Egypt,https://constructionfront.com/2026-05-03-ge-vernova-secures-order-to-modernize-banha-and-nubaria-gas-power-plants-in-egypt/,News,2026-05-03,Extended coverage / optional,Yes,Middle East & Africa,Egypt,,Banha / Nubaria,30.7,30.9,Energy,Gas Power,,,,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,,GE Vernova,,Unknown,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.82,Yes,2026-05-03,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0033,Hamilton LRT,hamilton-lrt,Aecon-led alliance selected for Hamilton LRT civil and utilities works in Ontario,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,News,2026-05-04,Include in v0 map,Yes,North America,Canada,Ontario,,50,-85,Transport,Rail / Metro,,,,Tendering / Procurement,Active Opportunity,Awarded,Unknown,,,Aecon-led alliance,,Alliance,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.82,Yes,2026-05-04,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0034,Hudson Tunnel river section,hudson-tunnel-river-section,Traylor-Walsh-Skanska JV wins $1.29 billion Hudson Tunnel river section contract in New York and New Jersey,https://constructionfront.com/traylor-walsh-skanska-jv-wins-1-29-billion-hudson-tunnel-river-section-contract-in-new-york-and-new-jersey/,News,,Include in v0 map,Yes,North America,United States,New York / New Jersey,Hudson River,40.75,-74,Other,Other,,$1.29 billion,USD,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,,Traylor-Walsh-Skanska JV,,Unknown,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant supplier categories should be reviewed against the article and source package.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.88,Yes,,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0035,D35 motorway,d35-motorway,STRABAG consortium wins €177 million D35 motorway contract in the Czech Republic,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,News,2026-05-07,Include in v0 map,Yes,Europe,Czech Republic,,D35 motorway corridor,50,15.8,Transport,Road / Bridge,,€177 million,EUR,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,,STRABAG consortium,,Unknown,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.88,Yes,2026-05-07,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0036,North Station Draw One project,north-station-draw-one-project,Skanska wins $1.06 billion design-build contract for MBTA’s North Station Draw One project in Massachusetts,https://constructionfront.com/2026-05-07-skanska-wins-1-06-billion-design-build-contract-for-mbtas-north-station-draw-one-project-in-massachusetts/,News,2026-05-07,Include in v0 map,Yes,North America,United States,Massachusetts,Boston,42.366,-71.062,Other,Other,,$1.06 billion,USD,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,MBTA,Skanska,,Design-Build,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant supplier categories should be reviewed against the article and source package.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.94,Yes,2026-05-07,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0037,OL32 Skavsta Rail Contract,ol32-skavsta-rail-contract,Feronord Consortium Selected for €1.2 Billion OL32 Skavsta Rail Contract in Sweden,https://constructionfront.com/2026-05-11-feronord-consortium-selected-for-1-2-billion-ol32-skavsta-rail-contract-in-sweden/,News,2026-05-11,Include in v0 map,Yes,Europe,Sweden,Södermanland,Skavsta / OL32 corridor,58.8,16.9,Transport,Rail / Metro,,€1.2 Billion,EUR,Tendering / Procurement,Active Opportunity,Awarded,Unknown,,,Feronord Consortium,,Unknown,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.88,Yes,2026-05-11,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0038,North West Transmission Developments,north-west-transmission-developments,TasNetworks Reaches Financial Close for A$1.3 Billion North West Transmission Developments in Australia,https://constructionfront.com/2026-05-12-tasnetworks-reaches-financial-close-for-a1-3-billion-north-west-transmission-developments-in-australia/,News,2026-05-12,Include in v0 map,Yes,Australia & NZ,Australia,Tasmania,North West Tasmania,-41.5,145,Energy,Transmission / Grid,,A$1.3 Billion,AUD,FID Reached,Active Opportunity,Partly Awarded / Under Delivery,Reached / Closed,TasNetworks,,,,Project finance / delivery procurement,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.88,Yes,2026-05-12,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0039,Jinbi Solar Project,jinbi-solar-project,Yindjibarndi Energy Reaches Financial Close on 75MW Jinbi Solar Project in Western Australia,https://constructionfront.com/2026-05-12-yindjibarndi-energy-reaches-financial-close-on-75mw-jinbi-solar-project-in-western-australia/,News,2026-05-12,Include after location review,Needs review,Australia & NZ,Australia,,Australia,-25.2744,133.7751,Energy,Solar,75MW,,,FID Reached,Active Opportunity,Partly Awarded / Under Delivery,Reached / Closed,Yindjibarndi Energy,,,,Project finance / delivery procurement,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.88,Yes,2026-05-12,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0040,El Patrimonio Solar Project,el-patrimonio-solar-project,CPS Energy and Ashtrom Break Ground on 150MW El Patrimonio Solar Project in Texas,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,News,2026-05-13,Include in v0 map,Yes,North America,United States,Texas,,31,-99,Energy,Solar,150MW,,,Under Construction,Late Stage,Partly Awarded / Under Delivery,Likely reached or not applicable,CPS Energy and Ashtrom,,,,Unknown,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Delivery contractor, subcontractors, commissioning and O&M teams",Title-derived - requires article review,0.88,Yes,2026-05-13,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0041,SH 99 Grand Parkway Segment B-1 Project,sh-99-grand-parkway-segment-b-1-project,Ferrovial-Webber JV Selected by TxDOT for $1.47 Billion SH 99 Grand Parkway Segment B-1 Project in Texas,https://constructionfront.com/2026-05-14-ferrovial-webber-99-jv-selected-by-txdot-for-1-47-billion-sh-99-grand-parkway-segment-b-1-project-in-texas/,News,2026-05-14,Include in v0 map,Yes,North America,United States,Texas,,31,-99,Transport,Road / Bridge,,$1.47 Billion,USD,Tendering / Procurement,Active Opportunity,Awarded,Unknown,,TxDOT,Ferrovial-Webber JV,,Unknown,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.94,Yes,2026-05-14,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0042,Beacon Point AI Data Center Campus,beacon-point-ai-data-center-campus,Jacobs Awarded EPCM Contract for Hut 8’s 1GW Beacon Point AI Data Center Campus in Texas,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/,News,2026-05-14,Include in v0 map,Yes,North America,United States,Texas,,31,-99,Digital Infrastructure,Data Centre,1GW,,,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,Hut 8,,Jacobs,,EPCM,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include power, cooling, civil works, grid interconnection, design, project controls and commissioning.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.94,Yes,2026-05-14,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0043,HS2 Depot and Control Centre,hs2-depot-and-control-centre,Taylor Woodrow-Aureos Rail JV Wins £856 Million HS2 Depot and Control Centre Contract in Birmingham,https://constructionfront.com/2026-05-14-taylor-woodrow-aureos-rail-jv-wins-856-million-hs2-depot-and-control-centre-contract-in-birmingham/,News,2026-05-14,Include in v0 map,Yes,Europe,United Kingdom,West Midlands,Birmingham,52.4862,-1.8904,Transport,Rail / Metro,,£856 Million,GBP,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,,Taylor Woodrow-Aureos Rail JV,,Unknown,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.88,Yes,2026-05-14,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0044,Commonwealth LNG,commonwealth-lng,"Caturus Reaches FID, Closes $9.75bn Financing and Issues NTP to Technip Energies for Commonwealth LNG in Louisiana",https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,News,2026-05-16,Include in v0 map,Yes,North America,United States,Louisiana,Cameron Parish,29.8,-93.3,Energy,Gas / LNG,,$9.75 bn,USD,FID Reached,Active Opportunity,Partly Awarded / Under Delivery,Reached / Closed,Caturus / Commonwealth LNG,,Technip Energies,,Project finance / delivery procurement,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.94,Yes,2026-05-16,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0045,Eagle Springs and Lupinus Solar-Storage Projects,eagle-springs-and-lupinus-solar-storage-projects,Sunraycer Closes $901 Million Financing for Eagle Springs and Lupinus Solar-Storage Projects in Texas,https://constructionfront.com/2026-05-16-sunraycer-closes-901-million-financing-for-eagle-springs-and-lupinus-solar-storage-projects-in-texas/,News,2026-05-16,Include in v0 map,Yes,North America,United States,Texas,,31,-99,Energy,Solar + BESS,,$901 Million,USD,FID Reached,Active Opportunity,Partly Awarded / Under Delivery,Reached / Closed,Sunraycer Renewables,,,,Unknown,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.88,Yes,2026-05-16,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0046,Zeevonk Offshore Wind Project,zeevonk-offshore-wind-project,TKF Awarded Inter-Array Cable Contract for 1GW Zeevonk Offshore Wind Project in the Netherlands,https://constructionfront.com/2026-05-16-tkf-awarded-inter-array-cable-contract-for-1gw-zeevonk-offshore-wind-project-in-the-netherlands/,News,2026-05-16,Include in v0 map,Yes,Europe,Netherlands,North Sea,Zeevonk offshore wind area,52.6,4,Energy,Offshore Wind,1GW,,,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,,TKF,,Unknown,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.88,Yes,2026-05-16,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0047,850MW Renewable PPA Portfolio,850mw-renewable-ppa-portfolio,"DESRI and Meta Sign 850MW Renewable PPA Portfolio Across Oklahoma, Texas and Mississippi",https://constructionfront.com/2026-05-17-desri-and-meta-sign-850mw-renewable-ppa-portfolio-across-oklahoma-texas-and-mississippi/,News,2026-05-17,Include after location review,Needs review,North America,United States,Texas,,31,-99,Energy,Solar,850MW,,,FID Pending,Active Opportunity,Power Purchase Agreement signed,Pending / not confirmed,DESRI and Meta,,,,PPA / offtake,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.88,Yes,2026-05-17,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0048,North Shore Wastewater Treatment Plant,north-shore-wastewater-treatment-plant,Metro Vancouver and Acciona Settle North Shore Wastewater Treatment Plant Claims for $235 Million,https://constructionfront.com/2026-05-17-metro-vancouver-and-acciona-settle-north-shore-wastewater-treatment-plant-claims-for-235-million/,News,2026-05-17,Include in v0 map,Yes,North America,Canada,British Columbia,North Shore / Vancouver,49.31,-123.08,Transport,Rail / Metro,,$235 Million,USD,On Hold / Delayed,Low Visibility,Unknown,Unknown,Metro Vancouver,,Acciona,,Unknown,"Insufficient public information; review full article before BD action. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Review required,Title-derived - requires article review,0.94,Yes,2026-05-17,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0049,"1,158MW of Wind Projects in British Columbia",1-158mw-of-wind-projects-in-british-columbia,"BC Hydro Awards Four 30-Year Electricity Purchase Agreements for 1,158MW of Wind Projects in British Columbia",https://constructionfront.com/2026-05-20-bc-hydro-awards-four-30-year-electricity-purchase-agreements-for-1158mw-of-wind-projects-in-british-columbia/,News,2026-05-20,Include after location review,Needs review,North America,Canada,British Columbia,,53.7,-127.6,Energy,Wind,158MW,,,Unknown,Low Visibility,Unknown,Unknown,,BC Hydro,,,Unknown,"Insufficient public information; review full article before BD action. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Review required,Title-derived - requires article review,0.88,Yes,2026-05-20,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0050,Virginia Beach Resiliency Project,virginia-beach-resiliency-project,FlatironDragados Advances to Construction Phase of $518M Virginia Beach Resiliency Project,https://constructionfront.com/2026-05-20-flatirondragados-advances-to-construction-phase-of-518m-virginia-beach-resiliency-project/,News,2026-05-20,Include in v0 map,Yes,North America,United States,Virginia,Virginia Beach,36.8529,-75.978,Other,Other,,$518 M,USD,Under Construction,Late Stage,Partly Awarded / Under Delivery,Likely reached or not applicable,FlatironDragados,,FlatironDragados,,Unknown,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant supplier categories should be reviewed against the article and source package.","Delivery contractor, subcontractors, commissioning and O&M teams",Title-derived - requires article review,0.94,Yes,2026-05-20,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0051,Sanitation PPP for 85 Municipalities,sanitation-ppp-for-85-municipalities,"ACCIONA Awarded €724M Sanitation PPP for 85 Municipalities in Paraíba, Brazil",https://constructionfront.com/2026-05-20-acciona-awarded-724m-sanitation-ppp-for-85-municipalities-in-paraiba-brazil/,News,2026-05-20,Extended coverage / optional,Needs review,Latin America,Brazil,Paraíba,,-7.12,-34.87,Water,Water / Wastewater,,€724 M,EUR,Contract Awarded,Contractor Route,Awarded,Likely reached or not applicable,,,ACCIONA,,PPP / Concession,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include process, civil, mechanical/electrical works, commissioning, O&M and PPP/concession advisory.","Appointed main contractor, EPC/EPCM contractor or alliance team",Title-derived - requires article review,0.88,Yes,2026-05-20,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0052,Smoky Creek and Guthrie’s Gap Solar-Battery Projects,smoky-creek-and-guthries-gap-solar-battery-projects,Edify Reaches Financial Close on 720MWp Smoky Creek and Guthrie’s Gap Solar-Battery Projects in Queensland,https://constructionfront.com/2026-05-20-edify-reaches-financial-close-on-720mwp-smoky-creek-and-guthries-gap-solar-battery-projects-in-queensland/,News,2026-05-20,Include in v0 map,Yes,Australia & NZ,Australia,Queensland,Central Queensland,-23.5,150.5,Energy,Solar + BESS,720MWp,,,FID Reached,Active Opportunity,Partly Awarded / Under Delivery,Reached / Closed,Edify Energy,,,,Project finance / delivery procurement,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.88,Yes,2026-05-20,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
CFP-0053,Big Horn I Wind Project Upgrade,big-horn-i-wind-project-upgrade,Avangrid and Puget Sound Energy Sign PPA for 199.5MW Big Horn I Wind Project Upgrade in Washington,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,News,2026-05-21,Include after location review,Needs review,North America,United States,Washington,Big Horn wind area,45.8,-120.5,Energy,Wind,199.5MW,,,FID Pending,Active Opportunity,Power Purchase Agreement signed,Pending / not confirmed,Avangrid,,,Puget Sound Energy,PPA / offtake,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.","Owner / developer, public authority and prequalified tender teams",Title-derived - requires article review,0.88,Yes,2026-05-21,2026-05-21,,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.
